Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED_ARGB,MHPA0808RGBDT,50.000000,-50.000000,0.000000,top
D2,LED_ARGB,MHPA0808RGBDT,50.000000,-64.000000,0.000000,top
D3,LED_ARGB,MHPA0808RGBDT,50.000000,-51.750000,0.000000,top
D4,LED_ARGB,MHPA0808RGBDT,50.000000,-65.750000,0.000000,top
D5,LED_ARGB,MHPA0808RGBDT,50.000000,-53.500000,0.000000,top
D6,LED_ARGB,MHPA0808RGBDT,50.000000,-67.500000,0.000000,top
D7,LED_ARGB,MHPA0808RGBDT,50.000000,-55.250000,0.000000,top
D8,LED_ARGB,MHPA0808RGBDT,50.000000,-69.250000,0.000000,top
D9,LED_ARGB,MHPA0808RGBDT,50.000000,-57.000000,0.000000,top
D10,LED_ARGB,MHPA0808RGBDT,50.000000,-71.000000,0.000000,top
D11,LED_ARGB,MHPA0808RGBDT,50.000000,-58.750000,0.000000,top
D12,LED_ARGB,MHPA0808RGBDT,50.000000,-72.750000,0.000000,top
D13,LED_ARGB,MHPA0808RGBDT,50.000000,-60.500000,0.000000,top
D14,LED_ARGB,MHPA0808RGBDT,50.000000,-74.500000,0.000000,top
D15,LED_ARGB,MHPA0808RGBDT,50.000000,-62.250000,0.000000,top
D16,LED_ARGB,MHPA0808RGBDT,50.000000,-76.250000,0.000000,top
D17,LED_ARGB,MHPA0808RGBDT,51.750000,-50.000000,0.000000,top
D18,LED_ARGB,MHPA0808RGBDT,51.750000,-64.000000,0.000000,top
D19,LED_ARGB,MHPA0808RGBDT,51.750000,-51.750000,0.000000,top
D20,LED_ARGB,MHPA0808RGBDT,51.750000,-65.750000,0.000000,top
D21,LED_ARGB,MHPA0808RGBDT,51.750000,-53.500000,0.000000,top
D22,LED_ARGB,MHPA0808RGBDT,51.750000,-67.500000,0.000000,top
D23,LED_ARGB,MHPA0808RGBDT,51.750000,-55.250000,0.000000,top
D24,LED_ARGB,MHPA0808RGBDT,51.750000,-69.250000,0.000000,top
D25,LED_ARGB,MHPA0808RGBDT,51.750000,-57.000000,0.000000,top
D26,LED_ARGB,MHPA0808RGBDT,51.750000,-71.000000,0.000000,top
D27,LED_ARGB,MHPA0808RGBDT,51.750000,-58.750000,0.000000,top
D28,LED_ARGB,MHPA0808RGBDT,51.750000,-72.750000,0.000000,top
D29,LED_ARGB,MHPA0808RGBDT,51.750000,-60.500000,0.000000,top
D30,LED_ARGB,MHPA0808RGBDT,51.750000,-74.500000,0.000000,top
D31,LED_ARGB,MHPA0808RGBDT,51.750000,-62.250000,0.000000,top
D32,LED_ARGB,MHPA0808RGBDT,51.750000,-76.250000,0.000000,top
D33,LED_ARGB,MHPA0808RGBDT,53.500000,-50.000000,0.000000,top
D34,LED_ARGB,MHPA0808RGBDT,53.500000,-64.000000,0.000000,top
D35,LED_ARGB,MHPA0808RGBDT,53.500000,-51.750000,0.000000,top
D36,LED_ARGB,MHPA0808RGBDT,53.500000,-65.750000,0.000000,top
D37,LED_ARGB,MHPA0808RGBDT,53.500000,-53.500000,0.000000,top
D38,LED_ARGB,MHPA0808RGBDT,53.500000,-67.500000,0.000000,top
D39,LED_ARGB,MHPA0808RGBDT,53.500000,-55.250000,0.000000,top
D40,LED_ARGB,MHPA0808RGBDT,53.500000,-69.250000,0.000000,top
D41,LED_ARGB,MHPA0808RGBDT,53.500000,-57.000000,0.000000,top
D42,LED_ARGB,MHPA0808RGBDT,53.500000,-71.000000,0.000000,top
D43,LED_ARGB,MHPA0808RGBDT,53.500000,-58.750000,0.000000,top
D44,LED_ARGB,MHPA0808RGBDT,53.500000,-72.750000,0.000000,top
D45,LED_ARGB,MHPA0808RGBDT,53.500000,-60.500000,0.000000,top
D46,LED_ARGB,MHPA0808RGBDT,53.500000,-74.500000,0.000000,top
D47,LED_ARGB,MHPA0808RGBDT,53.500000,-62.250000,0.000000,top
D48,LED_ARGB,MHPA0808RGBDT,53.500000,-76.250000,0.000000,top
D49,LED_ARGB,MHPA0808RGBDT,55.250000,-50.000000,0.000000,top
D50,LED_ARGB,MHPA0808RGBDT,55.250000,-64.000000,0.000000,top
D51,LED_ARGB,MHPA0808RGBDT,55.250000,-51.750000,0.000000,top
D52,LED_ARGB,MHPA0808RGBDT,55.250000,-65.750000,0.000000,top
D53,LED_ARGB,MHPA0808RGBDT,55.250000,-53.500000,0.000000,top
D54,LED_ARGB,MHPA0808RGBDT,55.250000,-67.500000,0.000000,top
D55,LED_ARGB,MHPA0808RGBDT,55.250000,-55.250000,0.000000,top
D56,LED_ARGB,MHPA0808RGBDT,55.250000,-69.250000,0.000000,top
D57,LED_ARGB,MHPA0808RGBDT,55.250000,-57.000000,0.000000,top
D58,LED_ARGB,MHPA0808RGBDT,55.250000,-71.000000,0.000000,top
D59,LED_ARGB,MHPA0808RGBDT,55.250000,-58.750000,0.000000,top
D60,LED_ARGB,MHPA0808RGBDT,55.250000,-72.750000,0.000000,top
D61,LED_ARGB,MHPA0808RGBDT,55.250000,-60.500000,0.000000,top
D62,LED_ARGB,MHPA0808RGBDT,55.250000,-74.500000,0.000000,top
D63,LED_ARGB,MHPA0808RGBDT,55.250000,-62.250000,0.000000,top
